Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Keramba Tancap,Samatiga,2019,0,0
Keramba Tancap,Bubon,2019,0,0
Keramba Tancap,Arongan Lambalek,2019,0,0
Keramba Tancap,Woyla,2019,0,0
Keramba Tancap,Woyla Barat,2019,0,0
Keramba Tancap,Woyla Timur,2019,0,0
Keramba Tancap,Kaway XVI,2019,0,0
Keramba Tancap,Meureubo,2019,0,0
Keramba Tancap,Pante Ceureumen,2019,0,0
Keramba Tancap,Panton Reu,2019,0,0
Keramba Tancap,Sungai Mas,2019,0,0
Keramba Jaring Apung,Johan Pahlawan,2019,0,0
Keramba Jaring Apung,Samatiga,2019,0,0
Keramba Jaring Apung,Bubon,2019,0,0
Keramba Jaring Apung,Arongan Lambalek,2019,0,0
Keramba Jaring Apung,Woyla,2019,0,0
Keramba Jaring Apung,Woyla Barat,2019,0,0
Keramba Jaring Apung,Woyla Timur,2019,0,0
Keramba Jaring Apung,Kaway XVI,2019,0,0
Keramba Jaring Apung,Meureubo,2019,0,0
Keramba Jaring Apung,Pante Ceureumen,2019,0,0
Keramba Jaring Apung,Panton Reu,2019,0,0
Keramba Jaring Apung,Sungai Mas,2019,0,0
Minapadi,Johan Pahlawan,2019,0,0
Minapadi,Samatiga,2019,0,0
Minapadi,Bubon,2019,0,0
Minapadi,Arongan Lambalek,2019,0,0
Minapadi,Woyla,2019,0,0
Minapadi,Woyla Barat,2019,0,0
Minapadi,Woyla Timur,2019,0,0
Minapadi,Kaway XVI,2019,0,0
Minapadi,Meureubo,2019,0,0
Minapadi,Pante Ceureumen,2019,0,0
Minapadi,Panton Reu,2019,0,0
Minapadi,Sungai Mas,2019,0,0
Budidaya Laut,Johan Pahlawan,2020,0,0
Budidaya Laut,Samatiga,2020,0,0
Budidaya Laut,Bubon,2020,0,0
Budidaya Laut,Arongan Lambalek,2020,0,0
Budidaya Laut,Woyla,2020,0,0
Budidaya Laut,Woyla Barat,2020,0,0
Budidaya Laut,Woyla Timur,2020,0,0
Budidaya Laut,Kaway XVI,2020,0,0
Budidaya Laut,Meureubo,2020,0,0
Budidaya Laut,Pante Ceureumen,2020,0,0
Budidaya Laut,Panton Reu,2020,0,0
Budidaya Laut,Sungai Mas,2020,0,0
